ProductID,ProductNo,ProductName,Barcode,SKU,Unit,DefaultSize,SellPriceIncTax,SellTaxCode,CostPriceIncTax,CostTaxCode,IsModifier,PrintDocket,Tags,CategoryNames,SellAccount,BuyAccount,InventoryAccount,ImageUrl,ReportingGroup,FriendlyName,ShowOnline,OnlineDescription,InventoryType,PurchaseFormat,PurchaseQty,Container,VariableQtyPrompt
19399198,,"JACOBS CREEK Double Bar Shiraz S1",9300727016362,,ml,750,24.99,GST,16.5960,GST,0,1,"ALM,beverages,red,wines","Package WINES",1,1,1,,beverages,,1,,1,Cartons,6,BOTTLE,
19399199,,"JACOBS CREEK Half Pinot Grigio S1",9300727028976,,ml,750,18.99,GST,11.3250,GST,0,1,"ALM,beverages,sparkling,wines","Package WINES",1,1,1,,beverages,,1,,1,Cartons,6,BOTTLE,
19399200,,"JACOBS CREEK Half Rose S1",9300727028952,,ml,750,18.99,GST,11.3250,GST,0,1,"ALM,beverages,rose,wines","Package WINES",1,1,1,,beverages,,1,,1,Cartons,6,BOTTLE,
19399201,,"JACOBS CREEK Half Sparkling Brut S1",9300727028990,,ml,750,19.99,GST,11.3250,GST,0,1,"ALM,beverages,sparkling,wines","Package WINES",1,1,1,,beverages,,1,,1,Cartons,6,BOTTLE,
19399189,,"JACOBS CREEK Harvest Pinot Grigio S1",9300727012586,,ml,750,15.99,GST,9.8380,GST,0,1,"ALM,beverages,sparkling,wines","Package WINES",1,1,1,,beverages,,1,,1,Cartons,6,BOTTLE,
19399202,,"JACOBS CREEK LP Rose S1",9300727027023,,ml,750,17.99,GST,11.3250,GST,0,1,"ALM,beverages,sparkling,wines","Package WINES",1,1,1,,beverages,,1,,1,Cartons,6,BOTTLE,
19399203,,"JACOBS CREEK Merlot 750ml S1",9300727508003,,ml,750,10.99,GST,8.1170,GST,0,1,"ALM,beverages,red,wines","Package WINES",1,1,1,,beverages,,1,,1,Cartons,12,BOTTLE,
19399205,,"JACOBS CREEK Moscato S1",9300727014276,,ml,750,10.99,GST,8.1170,GST,0,1,"ALM,beverages,white,wines","Package WINES",1,1,1,,beverages,,1,,1,Cartons,12,BOTTLE,
19399206,,"JACOBS CREEK Pinot Grigio S1",9300727003997,,ml,750,10.99,GST,8.1170,GST,0,1,"ALM,beverages,sparkling,wines","Package WINES",1,1,1,,beverages,,1,,1,Cartons,12,BOTTLE,
19399204,,"JACOBS CREEK Merlot 187Ml S1",9300727009746,,ml,187,12,GST,2.3230,GST,0,1,"ALM,beverages,red,wines",Wines,1,1,1,,beverages,,1,,1,Cartons,24,BOTTLE,
